"OBJECTID";"carr_way_n";"road_id";"road_name";"start_name";"end_name";"location";"latest";"count_date";"peak_hour";"count_dura";"adt";"peaktraffi";"pccar";"pclcv";"pcmcv";"pchcvi";"pchcvii";"pcbus";"pcheavy";"NZTMX";"NZTMY"
"        22";"      1825";"     70028";"AWHITU RD";"GORDON RD";"TE TORO RD";"      8128";"No";"2010-03-17T00:00:00.000Z";"1000";"7D";"      1969";"211";"90";"5";"3";"1";"1";"0";"5";" 1749366.450799999991432";" 5883118.515999999828637"
"        23";"      1825";"     70028";"AWHITU RD";"GORDON RD";"TE TORO RD";"      8128";"No";"2011-05-11T00:00:00.000Z";"1700";"                                                                                ";"      1702";"189";"93";"3";"2";"2";"0";"0";"4";" 1749366.450799999991432";" 5883118.515999999828637"
"        24";"      1825";"     70028";"AWHITU RD";"GORDON RD";"TE TORO RD";"      8225";"No";"1990-12-07T00:00:00.000Z";"10:15";"                                                                                ";"      1105";"124";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1749389.040299999993294";" 5883212.553199999965727"
"        25";"      1825";"     70028";"AWHITU RD";"GORDON RD";"TE TORO RD";"      8225";"No";"1990-04-16T00:00:00.000Z";"15:15";"                                                                                ";"      1121";"123";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1749389.040299999993294";" 5883212.553199999965727"
"        26";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10118";"No";"1998-03-24T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1044";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"34";" 1748116.515499999979511";" 5883261.252299999818206"
"        27";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10118";"No";"1998-05-08T00:00:00.000Z";"                                                                                ";"                                                                                ";"       996";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"6";" 1748116.515499999979511";" 5883261.252299999818206"
"        28";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9834";"No";"2003-01-15T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1457";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"3";" 1748365.733999999938533";" 5883397.462700000032783"
"        29";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9118";"No";"1996-07-24T00:00:00.000Z";"                                                                                ";"                                                                                ";"       818";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748864.366200000047684";" 5883785.808000000193715"
"        30";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9118";"No";"1993-06-14T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1154";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748864.366200000047684";" 5883785.808000000193715"
"        31";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9118";"No";"1997-02-09T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1043";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748864.366200000047684";" 5883785.808000000193715"
